City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,kyritz,52.9421,12.397,11.57,91,67,5.51,DE,1710536435
275,mumbwa,-14.9783,27.0619,19.05,95,100,1.35,ZM,1710536437
276,bardai,11.65,7.2333,30.23,36,100,3.13,NG,1710536439
277,jinxiang,27.4327,120.6062,12.84,95,96,2.09,CN,1710536441
278,gwarzo,11.9152,7.9346,32.94,27,97,4.77,NG,1710536442
279,thongwa,16.7619,96.5278,26.09,74,7,1.76,MM,1710536445
280,east london,-33.0153,27.9116,22.2,72,86,4.46,ZA,1710536289
281,mirny,62.5353,113.9611,-19.55,99,98,1.39,RU,1710536448
282,floro,61.5996,5.0328,4.98,75,75,4.12,NO,1710536449
283,belozersk,60.0326,37.7957,3.88,94,100,6.26,RU,1710536450
284,ishigaki,24.3448,124.1572,21.38,72,21,6.79,JP,1710536451
285,susuman,62.7833,148.1667,-21.68,98,100,1.79,RU,1710536452
286,kerikeri,-35.2268,173.9474,14.95,89,16,1.79,NZ,1710536454
287,dombarovskiy,50.7587,59.5386,-13.33,96,14,2.68,RU,1710536446
288,klyuchi,52.2667,79.1667,-10.87,94,22,3.89,RU,1710536458
289,port alfred,-33.5906,26.891,21.21,77,30,0.45,ZA,1710536460
290,kutum,14.2,24.6667,26.59,18,51,3.19,SD,1710536461
291,terrace heights,46.6062,-120.4398,17.23,32,0,3.6,US,1710536463
292,zhangye,38.9342,100.4517,1.95,24,96,3.54,CN,1710536279
293,huarmey,-10.0681,-78.1522,24.65,76,48,4.61,PE,1710536466
294,inirida,3.8653,-67.9239,27.92,77,98,1.33,CO,1710536467
295,fuli,46.7217,131.1394,-7.01,91,65,2.64,CN,1710536469
296,san patricio,28.017,-97.5169,28.05,66,64,6.09,US,1710536470
297,daru,-9.0763,143.2092,26.34,82,99,7.23,PG,1710536472
298,hurricane,37.1753,-113.2899,11.94,59,100,1.34,US,1710536475
299,aswan,24.0934,32.907,24.86,16,100,4.95,EG,1710536479
300,itoman,26.1247,127.6694,19.49,72,40,2.06,JP,1710536480
301,tippi,7.2,35.45,21.68,62,30,1.62,ET,1710536482
302,atuntaqui,0.3333,-78.2167,19.36,67,73,2.34,EC,1710536484
303,djambala,-2.5447,14.7533,23.1,84,67,1.95,CG,1710536485
304,atherton,53.5237,-2.4935,8.19,84,100,2.24,GB,1710536487
305,ketchikan,55.3422,-131.6461,7.97,98,100,2.09,US,1710536488
306,murrells inlet,33.551,-79.0414,21.68,60,100,3.94,US,1710536490
307,zarah sharan,33.1467,68.7917,4.36,62,9,2.7,AF,1710536491
308,bulolo,-7.2,146.65,23.21,90,100,1.37,PG,1710536493
309,oboyan',51.2098,36.2792,1.01,76,75,2.88,RU,1710536495
310,manfalut,27.3104,30.97,18.61,29,0,2.66,EG,1710536496
311,edna,28.9786,-96.6461,29.5,79,72,5.5,US,1710536470
312,beja,36.7256,9.1817,8.76,84,2,1.65,TN,1710536501
313,isangel,-19.55,169.2667,25.26,95,100,1.85,VU,1710536502
314,fortuna,40.5982,-124.1573,23.85,37,20,2.06,US,1710536503
315,cativa,9.3606,-79.8436,33.44,65,56,6.04,PA,1710536504
316,bor,56.3567,44.0669,2.96,93,75,4.69,RU,1710536506
317,jisr ash shughur,35.8143,36.3206,9.0,93,12,3.46,SY,1710536507
318,quellon,-43.1167,-73.6167,13.83,75,61,5.38,CL,1710536508
319,ain sefra,32.75,-0.5833,15.62,38,12,2.69,DZ,1710536510
320,mariental,-24.6333,17.9667,28.75,18,6,1.99,NA,1710536512
321,medicine hat,50.0501,-110.6683,13.73,43,100,5.81,CA,1710536513
322,klaksvik,62.2266,-6.589,1.51,57,98,7.22,FO,1710536515
323,nacala,-14.5428,40.6728,26.03,87,98,1.88,MZ,1710536517
324,tual,-5.6667,132.75,28.26,77,100,6.18,ID,1710536519
325,fort st. john,56.2499,-120.8529,5.77,78,100,0.42,CA,1710536525
326,mogadishu,2.0371,45.3438,27.76,77,18,8.51,SO,1710536451
327,howrah,22.5892,88.3103,24.0,88,40,0.0,IN,1710536528
328,mount isa,-20.7333,139.5,20.87,83,20,0.0,AU,1710536530
329,roma,43.2128,-75.4557,11.43,71,100,3.09,US,1710536485
330,at taj,24.2049,23.2857,25.09,10,100,3.5,LY,1710536533
331,vila velha,-20.3297,-40.2925,27.75,84,11,3.58,BR,1710536535
332,happy valley-goose bay,53.3168,-60.3315,0.02,99,100,2.38,CA,1710536536
333,burley,42.5357,-113.7928,10.16,41,2,4.92,US,1710536538
334,greenville,35.6127,-77.3663,26.01,51,75,4.12,US,1710536540
335,ubari,26.5921,12.7805,16.64,28,2,4.02,LY,1710536449
336,i-n-salah,27.1935,2.4607,21.85,17,0,5.59,DZ,1710536543
337,amnat charoen,15.9167,104.75,28.23,60,67,3.46,TH,1710536544
338,tiksi,71.6872,128.8694,-31.12,96,41,1.65,RU,1710536424
